What is your UNI?,What operating system do you use?
student_87,
student_106,Windows 10
student_66,Mac OS X
student_93,Windows 10
student_99,Mac OS X
student_115,Mac OS X
student_15,Windows 10
student_21,Windows 10
student_86,Mac OS X
student_59,Windows 10
student_91,Windows 10
student_105,Mac OS X
student_165,Windows 10
student_24,Mac OS X
student_71,Windows 10
student_140,Windows 10
student_153,Windows 10
student_103,Mac OS X
student_138,Windows 10
student_47,Windows 10
student_1,Windows 10
student_20,Mac OS X
student_163,Mac OS X
student_107,Windows 10
student_126,Mac OS X
student_129,Mac OS X
student_42,Mac OS X
student_125,Windows 10
student_119,Mac OS X
student_68,"Other (Linux, Windows, 95, TI-89+, etc)"
student_14,Windows 10
student_20,Mac OS X
student_158,Mac OS X
student_19,Windows 10
student_142,Mac OS X
student_43,Mac OS X
student_132,Mac OS X
student_3,Mac OS X
student_133,Windows 10
student_116,Windows 10
student_146,Windows 10
student_78,Mac OS X
student_54,Mac OS X
student_54,Mac OS X
student_2,Mac OS X
student_35,Mac OS X
student_76,Mac OS X
student_164,Mac OS X
student_39,Windows 10
student_120,Mac OS X
student_34,"Other (Linux, Windows, 95, TI-89+, etc)"
student_77,Mac OS X
student_62,Windows 10
student_48,Mac OS X
student_72,Windows 10
student_117,Mac OS X
student_60,Windows 10
student_121,Windows 10
student_10,Mac OS X
student_51,Windows 10
student_4,Mac OS X
student_38,Windows 10
student_60,Windows 10
student_32,Mac OS X
student_134,Mac OS X
student_161,Windows 10
student_109,Windows 10
student_50,Windows 10
student_5,Windows 10
student_167,Mac OS X
student_167,Mac OS X
student_65,Mac OS X
student_26,Mac OS X
student_88,Mac OS X
student_124,Mac OS X
student_31,Mac OS X
student_63,Mac OS X
student_157,Mac OS X
student_61,Mac OS X
student_159,Mac OS X
student_118,Windows 10
student_33,Mac OS X
student_89,Mac OS X
student_156,Mac OS X
student_79,Mac OS X
student_96,Windows 10
student_162,Mac OS X
student_85,Mac OS X
student_45,Windows 10
student_81,Windows 10
student_36,Mac OS X
student_74,Mac OS X
student_55,Windows 10
student_143,"Other (Linux, Windows, 95, TI-89+, etc)"
student_45,Windows 10
student_45,Windows 10
student_22,Mac OS X
student_13,Mac OS X
student_9,"Other (Linux, Windows, 95, TI-89+, etc)"
student_23,Mac OS X
student_112,Mac OS X
student_166,Mac OS X
student_58,Mac OS X
student_147,Mac OS X
student_83,Mac OS X
student_108,Mac OS X
student_137,Windows 10
student_94,Mac OS X
student_122,Mac OS X
student_113,Windows 10
student_148,Windows 10
student_70,Mac OS X
student_139,Windows 10
student_44,Mac OS X
student_145,Mac OS X
student_25,Windows 10
student_92,Mac OS X
student_11,Mac OS X
student_150,Mac OS X
student_102,"Other (Linux, Windows, 95, TI-89+, etc)"
student_102,Windows 10
student_30,Mac OS X
student_67,Windows 10
student_127,Mac OS X
student_7,Windows 10
student_75,Mac OS X
student_110,Mac OS X
student_18,Mac OS X
student_154,Windows 10
student_160,Windows 10
student_40,Mac OS X
student_136,Mac OS X
student_8,Mac OS X
student_41,Mac OS X
student_6,Mac OS X
student_131,Windows 10
student_124,Windows 10
student_151,Windows 10
student_141,Mac OS X
student_104,Windows 10
student_131,Windows 10
student_49,Mac OS X
student_27,Mac OS X
student_28,Mac OS X
student_100,Mac OS X
student_149,Windows 10
student_149,Windows 10
student_12,Mac OS X
student_46,Mac OS X
student_144,Windows 10
student_130,Mac OS X
student_64,Windows 10
student_128,Mac OS X
student_73,Mac OS X
student_84,Mac OS X
student_111,Mac OS X
student_95,Mac OS X
student_135,Windows 10
student_56,Mac OS X
student_57,Mac OS X
student_90,Mac OS X
student_69,"Other (Linux, Windows, 95, TI-89+, etc)"
student_82,Mac OS X
student_114,Mac OS X
student_152,Mac OS X
student_101,Mac OS X
student_52,Windows 10
student_155,Mac OS X
student_37,Mac OS X
student_59,Windows 10
student_123,Windows 10
student_29,Mac OS X
student_97,Mac OS X
