What is your UNI?,What is your degree program?,Which most accurately describes your experience with Git?
student_133,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_32,MS,"Not smooth: I don't like git, I don't like GitHub, and I don't even really like computers anymore"
,MPH,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_161,MPH,"Not smooth: I don't like git, I don't like GitHub, and I don't even really like computers anymore"
student_17,PhD,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_139,MS,Smooth: installation and connection with GitHub was easy
student_10,MPH,Smooth: installation and connection with GitHub was easy
student_84,MPH,Smooth: installation and connection with GitHub was easy
student_127,MPH,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_107,PhD,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_38,MS,Smooth: installation and connection with GitHub was easy
student_62,MPH,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_164,MS,Smooth: installation and connection with GitHub was easy
student_125,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_35,MS,Smooth: installation and connection with GitHub was easy
,MPH,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_114,MPH,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_99,MS,Smooth: installation and connection with GitHub was easy
student_115,MS,Smooth: installation and connection with GitHub was easy
student_156,MS,Smooth: installation and connection with GitHub was easy
student_61,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_109,MPH,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
,MPH,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_87,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_21,MPH,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_47,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_140,PhD,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_147,MPH,Smooth: installation and connection with GitHub was easy
student_79,MS,Smooth: installation and connection with GitHub was easy
student_3,MPH,"Not smooth: I don't like git, I don't like GitHub, and I don't even really like computers anymore"
student_55,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_22,MPH,Smooth: installation and connection with GitHub was easy
student_124,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_14,MS,"What's ""Git"" ...?"
student_53,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_34,MS,Smooth: installation and connection with GitHub was easy
student_4,MS,Smooth: installation and connection with GitHub was easy
student_154,MS,Smooth: installation and connection with GitHub was easy
student_28,PhD,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_110,MPH,Smooth: installation and connection with GitHub was easy
student_165,MS,Smooth: installation and connection with GitHub was easy
student_159,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_40,MS,Smooth: installation and connection with GitHub was easy
student_157,MS,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
student_59,MPH,Smooth: installation and connection with GitHub was easy
student_1,MPH,"Not smooth: I don't like git, I don't like GitHub, and I don't even really like computers anymore"
student_119,MS,Smooth: installation and connection with GitHub was easy
student_5,MPH,"Pretty smooth: needed some work to connect Git, GitHub, and RStudio, but nothing too painful"
